评语,评分,时间
"
此片无关爱情，除了背叛。有的只是监狱中的男人间的友谊。Red 和 Andy的那种友谊置放在高墙之下，似乎比我们纷繁俗世中的友情来得更加纯粹和干净。他们都是内敛的人，然而洞悉一切，心意契合。我喜欢这种感情。所以在他们终于相会在太平洋小岛的阳光沙滩之上的时候，忍不住一人笑了。
",力荐,2016-11-08
让我难过的事，有一天，真的能笑着说出来吗？,力荐,2014-06-10
雄霸豆瓣第一名，总归是一种了不起...,力荐,2013-12-05
先看的书，看电影前不理解为什么找蒂姆·罗宾斯演，看完了就忘记为什么之前觉得蒂姆·罗宾斯不帅了，演员的魅力确实能通过角色展现,推荐,2018-06-18
为了自由，人真的是有非常大的毅力，前面看的有趣，后半段越来越压抑，尤其是那个小卷毛说好了作证，却被长官枪杀，很难受，男主从下水道钻出来的时候算是全片的高潮了吧，看完只想说一句话“知识就是力量”。,推荐,2016-12-27
戳到我泪点的，是最后一幕freeman坐在车上想着跟老友见面。,力荐,2016-01-30
所谓体制化，先是憎恨，然后习惯，最终无法离开。恐惧让你沦为囚犯，希望让你重获自由。,力荐,2012-03-04
最先还是为了练习英语看的，除了感动没啥大感触，这部剧值得一刷再刷，最近又给我了新的力量，再次带希望上路。,力荐,2017-02-04
高中时收藏的DVD之一，相当深刻的影片，老摩的表演也十分精彩。,力荐,2011-06-03
很经典的一部电影，看过挺多遍，每次看都能感受到不一样的东西，值得一看,力荐,2017-02-19
电影的最后，当两个在囹圄之中呆了几十年的人拥抱到了一起，当他们还需要去思考“自由”的时候，这个时间点不知道我们是该为他们庆幸还是悲哀……很棒，每当迷茫的时候，翻出这个电影看一看，有好处，经典,力荐,2016-11-08
这部电影确实很有深度，另摩根弗里曼的表演已经像平常人吃饭那么日常了,力荐,2017-03-25
"一个关乎友情和信念的故事。
不消多说什么，看看他的故事，你那些挫折又算什么呢?
“Get busy living or get busy dying”",力荐,2017-04-03
这部剧真的是经典中的经典，无论从故事构架剧情还有演员演绎上都是完美作品，发人深思,力荐,2017-03-24
看过3遍，每次看都有不同的感受，最大的体会大概是人要永远充满希望吧,力荐,2017-05-03
当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。,还行,2017-08-12
非常好看，经典。有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！,力荐,2017-02-26
